tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,propietario_id
INSCRIPCION INICIAL NACIONAL,2024-02-21,2024-02-21,1195,Nacional,2023.0,20,PICK-UP,68,TOYOTA,BL,HILUX 4X4 DC SR 2.8 TDI 6 MT,1.0,Privado,9309.0
INSCRIPCION INICIAL NACIONAL,2024-02-16,2024-02-16,1178,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,8Z,AMAROK TRENDLINE CD TDI MT 4X2,1.0,Privado,10544.0
INSCRIPCION INICIAL NACIONAL,2024-02-15,2024-02-15,1195,Nacional,2024.0,20,PICK-UP,19,FORD,1P,RANGER DC XLT 2.0L BIT 4X2 10AT D,1.0,Privado,4467.0
INSCRIPCION INICIAL NACIONAL,2024-02-19,2024-02-19,1206,Nacional,2024.0,20,PICK-UP,AC,NISSAN,13,FRONTIER PRO4X 4X4 AT 2.3 D CD,1.0,Privado,7940.0
INSCRIPCION INICIAL NACIONAL,2024-02-05,2024-02-05,1172,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BH,HILUX 4X4 DC SRX 2.8 TDI 6 AT,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-20,2024-02-20,1177,Nacional,2024.0,20,PICK-UP,19,FORD,1M,RANGER DC XL 2.0L T 4X2 MT D,1.0,Privado,6405.0
INSCRIPCION INICIAL NACIONAL,2024-02-02,2024-02-02,1170,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9A,AMAROK TRENDLINE CD TDI MT 4X4,1.0,Privado,7622.0
INSCRIPCION INICIAL NACIONAL,2024-02-29,2024-02-29,1170,Nacional,2024.0,20,PICK-UP,19,FORD,1K,RANGER DC XLT 2.0L BIT 4X4 10AT D,1.0,Privado,7624.0
INSCRIPCION INICIAL NACIONAL,2024-02-15,2024-02-15,1172,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9K,AMAROK HIGHLINE P1 CD V6 AT 4X4,1.0,Privado,11771.0
INSCRIPCION INICIAL NACIONAL,2024-02-16,2024-02-16,1206,Nacional,2024.0,20,PICK-UP,AC,NISSAN,15,FRONTIER S 4X2 MT 2.3 D CD,1.0,Privado,4090.0
INSCRIPCION INICIAL NACIONAL,2024-02-02,2024-02-02,1197,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9L,AMAROK EXTREME CD V6 AT 4X4,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-07,2024-02-07,1195,Nacional,2024.0,20,PICK-UP,37,RENAULT,5V,ALASKAN INTENS 2.3 DCI 190 2WD AT,1.0,Privado,11892.0
INSCRIPCION INICIAL NACIONAL,2024-02-21,2024-02-21,1214,Nacional,2024.0,20,PICK-UP,19,FORD,1L,RANGER DC XLS 2.0L T 4X2 MT D,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-16,2024-02-16,1198,Nacional,2023.0,20,PICK-UP,68,TOYOTA,BM,HILUX 4X4 DC DX 2.4 TDI 6 MT,1.0,Privado,
